"","wine_type","fixed_acidity","volatile_acidity","citric.acid","residual_sugar","chlorides","free_sulfur_dioxide","total_sulfur_dioxide","density","pH","sulphates","alcohol","quality","fit.cluster"
"1",1,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,2
"2",1,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,1
"3",1,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,3
"4",1,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,10
"5",1,7.2,0.23,0.32,8.5,0.058,47,186,0.9956,3.19,0.4,9.9,6,10
"6",1,8.1,0.28,0.4,6.9,0.05,30,97,0.9951,3.26,0.44,10.1,6,3
"7",1,6.2,0.32,0.16,7,0.045,30,136,0.9949,3.18,0.47,9.6,6,1
"8",1,7,0.27,0.36,20.7,0.045,45,170,1.001,3,0.45,8.8,6,2
"9",1,6.3,0.3,0.34,1.6,0.049,14,132,0.994,3.3,0.49,9.5,6,1
"10",1,8.1,0.22,0.43,1.5,0.044,28,129,0.9938,3.22,0.45,11,6,1
"11",1,8.1,0.27,0.41,1.45,0.033,11,63,0.9908,2.99,0.56,12,5,6
"12",1,8.6,0.23,0.4,4.2,0.035,17,109,0.9947,3.14,0.53,9.7,5,4
"13",1,7.9,0.18,0.37,1.2,0.04,16,75,0.992,3.18,0.63,10.8,5,6
"14",1,6.6,0.16,0.4,1.5,0.044,48,143,0.9912,3.54,0.52,12.4,7,9
"15",1,8.3,0.42,0.62,19.25,0.04,41,172,1.0002,2.98,0.67,9.7,5,2
"16",1,6.6,0.17,0.38,1.5,0.032,28,112,0.9914,3.25,0.55,11.4,7,4
"17",1,6.3,0.48,0.04,1.1,0.046,30,99,0.9928,3.24,0.36,9.6,6,3
"18",1,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,6
"19",1,7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6,2
"20",1,6.5,0.31,0.14,7.5,0.044,34,133,0.9955,3.22,0.5,9.5,5,1
"21",1,6.2,0.66,0.48,1.2,0.029,29,75,0.9892,3.33,0.39,12.8,8,6
"22",1,6.4,0.31,0.38,2.9,0.038,19,102,0.9912,3.17,0.35,11,7,3
"23",1,6.8,0.26,0.42,1.7,0.049,41,122,0.993,3.47,0.48,10.5,8,4
"24",1,7.6,0.67,0.14,1.5,0.074,25,168,0.9937,3.05,0.51,9.3,5,2
"25",1,6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10,6,1
"26",1,7,0.25,0.32,9,0.046,56,245,0.9955,3.25,0.5,10.4,6,8
"27",1,6.9,0.24,0.35,1,0.052,35,146,0.993,3.45,0.44,10,6,1
"28",1,7,0.28,0.39,8.7,0.051,32,141,0.9961,3.38,0.53,10.5,6,1
"29",1,7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6,1
"30",1,7.2,0.32,0.36,2,0.033,37,114,0.9906,3.1,0.71,12.3,7,4
"31",1,8.5,0.24,0.39,10.4,0.044,20,142,0.9974,3.2,0.53,10,6,1
"32",1,8.3,0.14,0.34,1.1,0.042,7,47,0.9934,3.47,0.4,10.2,6,5
"33",1,7.4,0.25,0.36,2.05,0.05,31,100,0.992,3.19,0.44,10.8,6,3
"34",1,6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9,6,4
"35",1,5.8,0.27,0.2,14.95,0.044,22,179,0.9962,3.37,0.37,10.2,5,2
"36",1,7.3,0.28,0.43,1.7,0.08,21,123,0.9905,3.19,0.42,12.8,5,4
"37",1,6.5,0.39,0.23,5.4,0.051,25,149,0.9934,3.24,0.35,10,5,1
"38",1,7,0.33,0.32,1.2,0.053,38,138,0.9906,3.13,0.28,11.2,6,1
"39",1,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,9
"40",1,7.3,0.24,0.39,17.95,0.057,45,149,0.9999,3.21,0.36,8.6,5,9
"41",1,6.7,0.23,0.39,2.5,0.172,63,158,0.9937,3.11,0.36,9.4,6,9
"42",1,6.7,0.24,0.39,2.9,0.173,63,157,0.9937,3.1,0.34,9.4,6,9
"43",1,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,2
"44",1,6.6,0.24,0.27,1.4,0.057,33,152,0.9934,3.22,0.56,9.5,6,1
"45",1,6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,1
"46",1,7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10,7,2
"47",1,6.2,0.45,0.26,4.4,0.063,63,206,0.994,3.27,0.52,9.8,4,10
"48",1,6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5,10
"49",1,7,0.31,0.26,7.4,0.069,28,160,0.9954,3.13,0.46,9.8,6,2
"50",1,6.9,0.19,0.35,5,0.067,32,150,0.995,3.36,0.48,9.8,5,1
"51",1,7.2,0.19,0.31,1.6,0.062,31,173,0.9917,3.35,0.44,11.7,6,2
"52",1,6.6,0.25,0.29,1.1,0.068,39,124,0.9914,3.34,0.58,11,7,4
"53",1,6.2,0.16,0.33,1.1,0.057,21,82,0.991,3.32,0.46,10.9,7,6
"54",1,6.4,0.18,0.35,1,0.045,39,108,0.9911,3.31,0.35,10.9,6,4
"55",1,6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6,1
"56",1,6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,2
"57",1,7.2,0.21,0.34,11.9,0.043,37,213,0.9962,3.09,0.5,9.6,6,10
"58",1,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,9
"59",1,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,6
"60",1,7.4,0.2,0.36,1.2,0.038,44,111,0.9926,3.36,0.34,9.9,6,4
"61",1,6.8,0.22,0.24,4.9,0.092,30,123,0.9951,3.03,0.46,8.6,6,4
"62",1,6,0.19,0.26,12.4,0.048,50,147,0.9972,3.3,0.36,8.9,6,9
"63",1,7,0.47,0.07,1.1,0.035,17,151,0.991,3.02,0.34,10.5,5,1
"64",1,6.6,0.38,0.15,4.6,0.044,25,78,0.9931,3.11,0.38,10.2,6,6
"65",1,7.2,0.24,0.27,1.4,0.038,31,122,0.9927,3.15,0.46,10.3,6,4
"66",1,6.2,0.35,0.03,1.2,0.064,29,120,0.9934,3.22,0.54,9.1,5,4
"67",1,6.4,0.26,0.24,6.4,0.04,27,124,0.9903,3.22,0.49,12.6,7,4
"68",1,6.7,0.25,0.13,1.2,0.041,81,174,0.992,3.14,0.42,9.8,5,9
"69",1,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,3
"70",1,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,3
"71",1,6.2,0.27,0.43,7.8,0.056,48,244,0.9956,3.1,0.51,9,6,8
"72",1,6.8,0.3,0.23,4.6,0.061,50.5,238.5,0.9958,3.32,0.6,9.5,5,8
"73",1,6,0.27,0.28,4.8,0.063,31,201,0.9964,3.69,0.71,10,5,10
"74",1,8.6,0.23,0.46,1,0.054,9,72,0.9941,2.95,0.49,9.1,6,6
"75",1,6.7,0.23,0.31,2.1,0.046,30,96,0.9926,3.33,0.64,10.7,8,3
"76",1,7.4,0.24,0.29,10.1,0.05,21,105,0.9962,3.13,0.35,9.5,5,3
"77",1,7.1,0.18,0.36,1.4,0.043,31,87,0.9898,3.26,0.37,12.7,7,3
"78",1,7,0.32,0.34,1.3,0.042,20,69,0.9912,3.31,0.65,12,7,6
"79",1,7.4,0.18,0.3,8.8,0.064,26,103,0.9961,2.94,0.56,9.3,5,3
"80",1,6.7,0.54,0.28,5.4,0.06,21,105,0.9949,3.27,0.37,9,5,3
"81",1,6.8,0.22,0.31,1.4,0.053,34,114,0.9929,3.39,0.77,10.6,6,4
"82",1,7.1,0.2,0.34,16,0.05,51,166,0.9985,3.21,0.6,9.2,6,9
"83",1,7.1,0.34,0.2,6.1,0.063,47,164,0.9946,3.17,0.42,10,5,9
"84",1,7.3,0.22,0.3,8.2,0.047,42,207,0.9966,3.33,0.46,9.5,6,10
"85",1,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,9
"86",1,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,9
"87",1,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,9
"88",1,6.8,0.25,0.31,13.3,0.05,69,202,0.9972,3.22,0.48,9.7,6,10
"89",1,7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,9
"90",1,7.1,0.44,0.62,11.8,0.044,52,152,0.9975,3.12,0.46,8.7,6,9
"91",1,7.2,0.39,0.63,11,0.044,55,156,0.9974,3.09,0.44,8.7,6,9
"92",1,6.1,0.27,0.43,7.5,0.049,65,243,0.9957,3.12,0.47,9,5,8
"93",1,6.9,0.24,0.33,1.7,0.035,47,136,0.99,3.26,0.4,12.6,7,1
"94",1,6.9,0.21,0.33,1.8,0.034,48,136,0.9899,3.25,0.41,12.6,7,1
"95",1,7.5,0.17,0.32,1.7,0.04,51,148,0.9916,3.21,0.44,11.5,7,9
"96",1,7.1,0.26,0.29,12.4,0.044,62,240,0.9969,3.04,0.42,9.2,6,8
"97",1,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,2
"98",1,8.6,0.265,0.36,1.2,0.034,15,80,0.9913,2.95,0.36,11.4,7,6
"99",1,9.8,0.36,0.46,10.5,0.038,4,83,0.9956,2.89,0.3,10.1,4,6
"100",1,6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6,2
"101",1,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,10
"102",1,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,9
"103",1,6,0.21,0.24,12.1,0.05,55,164,0.997,3.34,0.39,9.4,5,9
"104",1,7.5,0.305,0.4,18.9,0.059,44,170,1,2.99,0.46,9,5,2
"105",1,7.4,0.25,0.37,13.5,0.06,52,192,0.9975,3,0.44,9.1,5,10
"106",1,7.3,0.13,0.32,14.4,0.051,34,109,0.9974,3.2,0.35,9.2,6,4
"107",1,7.1,0.12,0.32,9.6,0.054,64,162,0.9962,3.4,0.41,9.4,5,9
"108",1,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,9
"109",1,7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,9
"110",1,6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,10
"111",1,6.5,0.17,0.54,8.5,0.082,64,163,0.9959,2.89,0.39,8.8,6,9
"112",1,7.2,0.27,0.46,18.75,0.052,45,255,1,3.04,0.52,8.9,5,8
"113",1,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,10
"114",1,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,1
"115",1,6.7,0.41,0.34,9.2,0.049,29,150,0.9968,3.22,0.51,9.1,5,1
"116",1,5.5,0.485,0,1.5,0.065,8,103,0.994,3.63,0.4,9.7,4,3
"117",1,6,0.31,0.24,3.3,0.041,25,143,0.9914,3.31,0.44,11.3,6,1
"118",1,7,0.14,0.4,1.7,0.035,16,85,0.9911,3.19,0.42,11.8,6,3
"119",1,7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5,10
"120",1,7.3,0.32,0.48,13.3,0.06,57,196,0.9982,3.04,0.5,9.2,5,10
"121",1,5.9,0.36,0.04,5.7,0.046,21,87,0.9934,3.22,0.51,10.2,5,3
"122",1,7.8,0.24,0.32,12.2,0.054,42,138,0.9984,3.01,0.54,8.8,5,1
"123",1,7.4,0.16,0.31,6.85,0.059,31,131,0.9952,3.29,0.34,9.7,5,1
"124",1,6.9,0.19,0.28,5,0.058,14,146,0.9952,3.29,0.36,9.1,6,1
"125",1,6.4,0.13,0.47,1.6,0.092,40,158,0.9928,3.21,0.36,9.8,6,2
"126",1,6.7,0.19,0.36,1.1,0.026,63,143,0.9912,3.27,0.48,11,6,9
"127",1,7.4,0.39,0.23,7,0.033,29,126,0.994,3.14,0.42,10.5,5,4
"128",1,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,10
"129",1,6.1,0.3,0.56,2.8,0.044,47,179,0.9924,3.3,0.57,10.9,7,10
"130",1,6.1,0.3,0.56,2.7,0.046,46,184,0.9924,3.31,0.57,10.9,6,10
"131",1,5.7,0.26,0.25,10.4,0.02,7,57,0.994,3.39,0.37,10.6,5,5
"132",1,6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,10
"133",1,6.5,0.425,0.4,13.1,0.038,59,241,0.9979,3.23,0.57,9,5,8
"134",1,6.6,0.24,0.27,15.8,0.035,46,188,0.9982,3.24,0.51,9.2,5,10
"135",1,6.8,0.27,0.22,8.1,0.034,55,203,0.9961,3.19,0.52,8.9,5,10
"136",1,6.7,0.27,0.31,15.7,0.036,44,179,0.9979,3.26,0.56,9.6,5,2
"137",1,8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,4
"138",1,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,9
"139",1,6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7,3
"140",1,8.1,0.28,0.39,1.9,0.029,18,79,0.9923,3.23,0.52,11.8,6,6
"141",1,6.3,0.31,0.34,2.2,0.045,20,77,0.9927,3.3,0.43,10.2,5,6
"142",1,7.1,0.37,0.67,10.5,0.045,49,155,0.9975,3.16,0.44,8.7,5,9
